question,category,age_group,difficulty,answer
2+2=?,arithmetic,5-7,easy,4
5+3=?,arithmetic,5-7,easy,8
4+1=?,arithmetic,5-7,easy,5
7-2=?,arithmetic,5-7,easy,5
3+4=?,arithmetic,5-7,easy,7
6-1=?,arithmetic,5-7,easy,5
10-4=?,arithmetic,8-10,medium,6
12-5=?,arithmetic,8-10,medium,7
15-8=?,arithmetic,8-10,medium,7
9+8=?,arithmetic,8-10,medium,17
14+5=?,arithmetic,8-10,medium,19
20-9=?,arithmetic,8-10,medium,11
12/3=?,arithmetic,11-13,hard,4
18/2=?,arithmetic,11-13,hard,9
6*4=?,arithmetic,11-13,hard,24
15+18=?,arithmetic,11-13,hard,33
32-17=?,arithmetic,11-13,hard,15
25/5=?,arithmetic,11-13,hard,5
Which is bigger 3 or 7?,number_sense,5-7,easy,7
Which is smaller 9 or 2?,number_sense,5-7,easy,2
Which is bigger 5 or 1?,number_sense,5-7,easy,5
Which is smaller 8 or 6?,number_sense,5-7,easy,6
Which is bigger 11 or 14?,number_sense,8-10,medium,14
Which is smaller 25 or 17?,number_sense,8-10,medium,17
Which is bigger 30 or 13?,number_sense,8-10,medium,30
Which is smaller 42 or 49?,number_sense,11-13,hard,42
2 4 6 __,sequence,5-7,easy,8
1 2 3 __,sequence,5-7,easy,4
5 10 15 __,sequence,5-7,easy,20
3 6 9 __,sequence,8-10,medium,12
2 6 10 __,sequence,8-10,medium,14
4 8 12 __,sequence,8-10,medium,16
10 20 30 __,sequence,11-13,hard,40
7 14 21 __,sequence,11-13,hard,28
1 3 5 7 __,pattern,5-7,easy,9
2 4 6 8 __,pattern,5-7,easy,10
5 10 15 20 __,pattern,8-10,medium,25
2 4 8 16 __,pattern,11-13,hard,32
Remember 4 1 8,memory,5-7,easy,1
Remember 7 2 9,memory,5-7,easy,2
Remember 8 3 5,memory,8-10,medium,3
Remember 9 4 1,memory,8-10,medium,4
Remember 6 2 8 3,memory,11-13,hard,2
Remember 3 7 1 9,memory,11-13,hard,7
